time,component,mean_value
0,0,0.7903089
1,0,0.6538076
2,0,0.46713015
3,0,0.41486275
4,0,0.34327856
5,0,0.30104867
6,0,0.26349536
7,0,0.20593348
8,0,0.17630379
9,0,0.16708653
10,0,0.14508452
11,0,0.1279665
12,0,0.119670734
13,0,0.123982325
14,0,0.12147934
15,0,0.1401393
16,0,0.15064502
17,0,0.15818489
18,0,0.1609409
19,0,0.16480747
20,0,0.1695281
21,0,0.17805448
22,0,0.1850664
23,0,0.1863969
24,0,0.20448652
25,0,0.1955328
26,0,0.1619518
27,0,0.14744225
28,0,0.1310251
29,0,0.120814405
30,0,0.12213261
31,0,0.13769287
32,0,0.14302383
33,0,0.13990732
34,0,0.13377418
35,0,0.12783056
36,0,0.13704805
37,0,0.13977678
38,0,0.13767944
39,0,0.13013533
40,0,0.1000383
41,0,0.06730278
42,0,0.047885597
43,0,0.035977393
44,0,0.030385833
45,0,0.012559492
46,0,0.0069531444
47,0,0.003097953
48,0,-0.0019989887
49,0,-0.0036672284
50,0,-0.010897533
51,0,-0.013233127
52,0,-0.032576133
53,0,-0.064270556
54,0,-0.077649206
55,0,-0.09888386
56,0,-0.11321713
57,0,-0.11922571
58,0,-0.13115297
59,0,-0.14868402
60,0,-0.16463289
61,0,-0.16939959
62,0,-0.17289601
63,0,-0.17145467
64,0,-0.17305762
65,0,-0.17063595
66,0,-0.16861638
67,0,-0.18033937
68,0,-0.19493403
69,0,-0.19574802
70,0,-0.20752503
71,0,-0.22199428
72,0,-0.23745133
73,0,-0.245347
74,0,-0.2613193
75,0,-0.27364132
76,0,-0.28419328
77,0,-0.2885721
78,0,-0.2812407
79,0,-0.27835178
80,0,-0.26238298
81,0,-0.24081174
82,0,-0.22738296
83,0,-0.21171188
84,0,-0.19726202
85,0,-0.19296299
86,0,-0.18759489
87,0,-0.19347595
88,0,-0.20434055
89,0,-0.2162177
90,0,-0.2154415
91,0,-0.22416742
92,0,-0.21200782
93,0,-0.20356569
94,0,-0.19575183
95,0,-0.18757257
0,1,-0.6003948
1,1,-0.4160999
2,1,-0.2538251
3,1,-0.16859013
4,1,-0.10762217
5,1,-0.06795302
6,1,-0.017524276
7,1,0.033971258
8,1,0.06532735
9,1,0.10751112
10,1,0.10771997
11,1,0.12858428
12,1,0.1301426
13,1,0.11745517
14,1,0.14012845
15,1,0.13553657
16,1,0.1432978
17,1,0.13956507
18,1,0.15043902
19,1,0.17196086
20,1,0.19225556
21,1,0.20960504
22,1,0.22477472
23,1,0.23407498
24,1,0.24293587
25,1,0.24762648
26,1,0.23517472
27,1,0.22578225
28,1,0.20262662
29,1,0.18058059
30,1,0.18235508
31,1,0.17136082
32,1,0.15811014
33,1,0.14411277
34,1,0.13242337
35,1,0.13933921
36,1,0.14303228
37,1,0.15503153
38,1,0.16812241
39,1,0.15491381
40,1,0.14812817
41,1,0.14667581
42,1,0.13925152
43,1,0.1388436
44,1,0.1420511
45,1,0.14046793
46,1,0.12720978
47,1,0.11293102
48,1,0.11202813
49,1,0.10788469
50,1,0.09892072
51,1,0.09441099
52,1,0.07438652
53,1,0.045513913
54,1,0.032067046
55,1,0.0130466875
56,1,0.01684634
57,1,0.028526891
58,1,0.019480167
59,1,-0.0011525284
60,1,-0.025376849
61,1,-0.05077128
62,1,-0.068767995
63,1,-0.080625504
64,1,-0.08804829
65,1,-0.09884224
66,1,-0.12794754
67,1,-0.13580722
68,1,-0.13772601
69,1,-0.14159472
70,1,-0.13151044
71,1,-0.13638178
72,1,-0.1386806
73,1,-0.15460089
74,1,-0.16936433
75,1,-0.18043089
76,1,-0.18499771
77,1,-0.19259807
78,1,-0.21400091
79,1,-0.223946
80,1,-0.21983261
81,1,-0.21011952
82,1,-0.20194095
83,1,-0.17311594
84,1,-0.15630244
85,1,-0.16462791
86,1,-0.15004009
87,1,-0.13964528
88,1,-0.1335736
89,1,-0.13643193
90,1,-0.13954854
91,1,-0.15171184
92,1,-0.1769956
93,1,-0.18761285
94,1,-0.19271901
95,1,-0.2050481
